user,ts,reward_id,reward_money
1472927984,1472788404.3596,9,1000
1472929492,1472789903.9643,9,1000
1472925220,1472794240.0856,15,1141
1472977760,1472805123.9322,12,1003
1472966585,1472818380.8297,10,1070
1472877550,1472835713.576,7,1010
1472879706,1472838701.9013,23,1005
1472874253,1472841055.157,24,1006
1472875857,1472842546.7345,25,1002
1472913653,1472864151.4412,17,1029
1472917328,1472867603.6377,11,1002
1474996966,1474729802.3805,1,1010
1474996980,1474729815.9293,1,1010
1474996488,1474729820.3643,1,1010
1474996440,1474729868.0702,2,1002
1474997078,1474729873.5768,3,1030
1474997094,1474729929.7322,1,1010
1474994834,1474731766.0704,1,1010
1475002119,1474732895.2926,3,1029
1475002328,1474733083.5943,3,1006
1475001397,1474733168.5966,2,1011
1475000667,1474734523.0418,1,1010
1474998492,1474736008.2338,4,1019
1475002604,1474740088.3815,4,1000
1475010077,1474740848.9401,7,1026
1475008923,1474742762.6148,2,1002
1475007741,1474743600.8795,13,1028
1475012281,1474747099.475,7,1070
1475017777,1474749490.8371,3,1027
1475016780,1474750623.9518,7,1057
1475015495,1474752425.2869,10,1001
1474952271,1474768034.7828,2,1020
1474950447,1474769788.6631,1,1010
1475038352,1474770164.4386,8,1062
1474942740,1474770287.81,1,1010
1474942732,1474770288.2783,1,1010
1474939155,1474770800.8172,2,1020
1474939262,1474770866.3789,3,1012
1474939024,1474771156.1008,3,1002
1474940137,1474772235.0314,4,1040
1474937266,1474772949.9307,3,1000
1475036071,1474773182.9425,4,1022
1474937087,1474773255.0765,2,1020
1474937568,1474773763.8083,3,1030
1474938242,1474773990.4662,3,1020
1474938477,1474774712.691,6,1030
1475039697,1474777650.973,20,1056
1475047097,1474777869.4748,13,1010
1474950792,1474778860.12,2,1010
1475052893,1474788792.6776,6,1001
1475058755,1474790567.2917,10,1000
1474934228,1474794544.2736,4,1000
1475061818,1474795661.9169,10,1000
1474847511,1474796889.0599,12,1007
1475066172,1474799400.0495,9,1000
1475065810,1474800662.1949,19,1019
1474844548,1474803168.2234,6,1050
1475069148,1474805047.5201,13,1000
1474853044,1474808023.796,10,1100
1475072776,1474809692.067,8,1014
1475076535,1474814418.8248,9,1022
1474832917,1474828913.0332,9,1060
1474856063,1474856086.6433,5,1001
1474856014,1474856101.7176,3,1011
1474867699,1474859031.3513,13,1012
1474868544,1474859939.8508,9,1035
1474871265,1474864194.9923,23,1004
1474867353,1474867418.756,12,1002
1475050085,1474873992.7901,12,1000
1475046815,1474878450.6881,15,1004
1474880489,1474879565.0134,10,1018
1474885379,1474882400.5727,23,1000
1474890482,1474885429.6816,18,1001
1475021127,1474885532.8887,11,1001
1475019550,1474888062.2829,27,1000
1474907249,1474901139.267,25,1013
1474905530,1474903501.8492,11,1001
1474915018,1474909977.5843,19,1000
1474915222,1474910169.8147,9,1002
1475076822,1474913081.7996,13,1000
1475057605,1474917928.8666,26,1001
1475051586,1474920609.6347,11,1001
1474976925,1474931959.4375,14,1061
1474977470,1474932461.8408,24,1000
1474971585,1474938402.6919,16,1004
1474945309,1474945398.6519,5,1070
1475231427,1474962208.9328,25,1035
1475016956,1474971951.8606,12,1004
1474989339,1474984809.2703,31,1000
1475158212,1475027239.6854,8,1007
1475159133,1475028152.6865,13,1022
1475314018,1475051969.6357,15,1113
1475184550,1475052993.6919,12,1025
1475344340,1475079223.8558,20,1005
1475102725,1475098728.9995,9,1009
1475110616,1475107612.396,29,1001
1475142200,1475109451.8556,12,1043
1475117170,1475117270.3703,20,1001
1475144382,1475139346.3664,19,1022
1475155134,1475153154.0317,26,1000
1477897951,1477350940.9243,4,1016
1477896374,1477351342.3433,1,1010
